,ids
473,1526068
474,1665667
475,1682531
476,1487245
477,1665662
478,1475558
479,1475538
480,1665661
481,1475532
482,1683955
483,1665665
484,1487275
485,1665664
486,1487283
487,1487298
488,1630358
489,1475563
490,1487233
491,1475551
492,1684511
493,1630374
494,1684513
495,1487248
496,1475519
497,1475547
498,1545368
499,1630359
500,1635992
501,1640493
502,1526086
503,1630364
504,1630366
505,1640489
506,1640525
507,1475524
508,1475554
509,1526088
510,1630362
511,1640488
512,1640491
513,1643313
514,1475548
515,1487226
516,1487267
517,1487277
518,1487284
519,1526048
520,1526073
521,1640500
522,1693576
523,1475535
524,1526091
525,1545366
526,1678176
527,1475545
528,1475526
529,1684512
530,1487268
531,1487272
532,1487282
533,1689981
534,1691823
535,1475534
536,1526053
537,1526070
538,1545354
539,1545367
540,1545374
541,1545381
542,1607190
543,1640480
544,1640495
545,1640504
546,1668629
547,1693582
548,1595402
549,1453281
550,1487249
551,1487256
552,1487279
553,1693579
554,1453298
555,1640509
556,1475521
557,1475530
558,1475531
559,1630361
560,1693592
561,1453259
562,1640512
563,1487230
564,1487250
565,1630365
566,1640506
567,1545382
568,1693595
569,1475549
570,1475560
571,1640482
572,1475555
573,1487304
574,1487306
575,1526077
576,1545383
577,1545384
578,1640481
579,1640492
580,1640522
581,1640530
582,1693573
583,1695409
584,1640531
585,1475536
586,1526061
587,1545360
588,1640496
589,1640510
590,1685075
591,1693591
592,1487269
593,1487302
594,1640478
595,1643312
596,1673890
597,1487232
598,1487236
599,1487239
600,1487251
601,1487266
602,1487276
603,1487286
604,1487297
605,1640485
606,1545356
607,1545362
608,1607200
609,1640494
610,1651215
611,1651217
612,1651219
613,1651220
614,1651223
615,1651225
616,1651226
617,1651227
618,1651229
619,1651230
620,1651234
621,1693575
622,1693586
623,1693587
624,1693589
625,1693596
626,1640515
627,1487254
628,1487273
629,1545358
630,1526071
631,1526075
632,1545364
633,1545372
634,1545376
635,1640502
636,1693571
637,1693580
638,1651221
639,1651224
640,1693577
641,1693578
642,1487242
643,1487258
644,1487261
645,1487262
646,1487274
647,1487295
648,1545373
649,1545385
650,1681795
651,1640529
652,1453258
653,1453274
654,1640521
655,1453299
656,1545369
657,1487244
658,1487265
659,1487278
660,1487289
661,1453275
662,1641413
663,1693574
664,1693583
665,1693593
666,1693598
667,1337904
668,1487243
669,1545370
670,1453273
671,1487246
672,1487255
673,1487303
674,1487305
675,1475552
676,1651218
677,1651228
678,1337883
679,1453292
680,1640497
681,1679852
682,1693581
683,1640505
684,1487225
685,1453294
686,1693585
687,1475565
688,1658717
689,1693572
690,1693588
691,1693594
692,1693597
693,1337882
694,1453282
695,1475529
696,1475569
697,1487252
698,1607197
699,1693584
700,1640490
701,1644734
702,1607194
703,1651231
704,1651233
705,1607191
706,1487264
707,1651216
708,1651222
709,1337887
710,1337884
711,1670838
712,1661630
713,1676542
714,1683352
715,1656336
716,1693996
717,1689736
718,1678601
719,1678312
720,1688494
721,1630158
722,1600776
723,1687618
724,1667779
725,1685375
726,1681911
727,1689948
728,1673481
729,1693503
730,1682755
731,1656427
732,1677550
733,1663640
734,1678318
735,1695410
736,1541575
737,1541753
738,1541754
739,1634635
740,1634636
741,1645693
742,1600218
743,1656961
744,1541580
745,1541578
746,1541522
747,1541577
748,1669614
749,1694958
750,1687901
751,1685733
752,1590212
753,1680679
754,1692148
755,1689873
756,1682025
757,1642333
758,1693071
759,1688323
760,1632518
761,1691169
762,1655257
763,1655258
764,1678674
765,1660365
766,1692600
767,1684449
768,1648099
769,1580272
770,1674819
771,1670444
772,1643603
773,1689491
774,1684476
775,1640025
776,1685313
777,1684589
778,1674241
779,1634860
780,1638914
781,1666971
782,1575759
783,1691286
784,1688851
785,1688432
786,1644976
787,1677255
788,1491755
789,1682795
790,1643006
791,1684637
792,1684141
793,1681331
794,1658758
795,1692551
796,1660491
797,1651839
798,1635925
799,1682758
800,1674820
801,1667794
802,1690247
803,1653450
804,1684331
805,1691950
806,1679557
807,1686730
808,1679795
809,1692298
810,1677212
811,1650397
812,1681467
813,1692128
814,1651504
815,1691795
816,1690159
817,1693363
818,1687449
819,1659629
820,1683511
821,1695406
822,1693502
823,1664463
824,1683101
825,1609280
826,1683296
827,1680970
828,1609002
829,1641288
830,1689208
831,1644009
832,1657900
833,1694546
834,1693994
835,1695452
836,1638909
837,1662802
838,1658505
839,1668729
840,1671812
841,1681788
842,1691155
843,1679369
844,1682128
845,1682939
846,1682953
847,1688249
848,1689789
849,1690012
850,1691951
851,1694436
852,1687346
853,1690032
854,1682954
855,1664724
856,1688710
857,1690477
858,1690031
859,1681538
860,1670443
861,1690777
862,1677222
863,1643851
864,1689086
865,1651334
866,1686795
867,1687305
868,1690033
869,1692297
870,1596006
871,1671206
872,1673006
873,1687450
874,1689023
875,1690515
876,1623602
877,1684746
878,1628927
879,1667248
880,1680745
881,1683958
882,1687246
883,1692618
884,1694075
885,1668491
886,1658270
887,1633701
888,1687451
889,1690479
890,1691287
891,1681787
892,1617555
893,1661176
894,1664643
895,1668777
896,1677597
897,1690245
898,1640784
899,1683245
900,1679236
901,1656743
902,1687452
903,1685039
904,1693694
905,1639534
906,1675018
907,1684514
908,1689688
909,1683957
910,1694437
911,1673948
912,1672388
913,1680235
914,1662942
915,1689798
916,1627297
917,1660743
918,1695360
919,1660075
920,1670313
921,1678225
922,1691288
923,1637892
924,1656015
925,1663209
926,1634784
927,1644030
928,1694266
929,1664460
930,1690478
931,1684313
932,1687446
933,1691304
934,1688177
935,1692299
936,1531106
937,1656470
938,1675509
939,1690783
940,1665759
941,1651888
942,1691665
943,1687319
944,1665610
945,1688156
946,1679231
947,1645953
948,1680677
949,1662735
950,1665045
951,1691849
952,1687827
953,1677106
954,1414937
955,1643837
956,1673287
957,1694679
958,1682836
959,1676348
960,1673644
961,1692152
962,1695063
963,1625570
964,1676603
965,1685361
966,1694236
967,1673538
968,1685669
969,1651238
970,1681758
971,1683289
972,1661887
973,1689151
974,1638654
975,1668351
976,1694030
977,1634737
978,1644793
979,1649292
980,1668286
981,1682437
982,1656521
983,1673839
984,1635615
985,1676272
986,1676273
987,1681278
988,1686983
989,1690736
990,1694494
991,1695204
992,1663699
993,1606891
994,1643518
995,1660984
996,1675632
997,1658539
998,1691178
999,1642719
1000,1652580
1001,1683420
1002,1694461
1003,1651508
1004,1675192
1005,1677373
1006,1690198
1007,1676768
1008,1690233
1009,1693811
1010,1675573
1011,1689362
1012,1611287
1013,1685116
1014,1683870
1015,1691014
1016,1681960
1017,1693312
1018,1693504
1019,1656549
1020,1670133
1021,1570994
1022,1629423
1023,1644334
1024,1651108
1025,1676265
1026,1680975
1027,1681655
1028,1684457
1029,1688567
1030,1691649
1031,1691725
1032,1694544
1033,1695428
1034,1646369
1035,1678773
1036,1680788
1037,1653553
1038,1662431
1039,1687959
1040,1688855
1041,1694887
1042,1654746
1043,1683784
1044,1694490
1045,1677564
1046,1682439
1047,1652578
1048,1685283
1049,1649937
1050,1630805
1051,1694555
1052,1692398
1053,1692399
1054,1675463
1055,1652388
1056,1549768
1057,1672438
1058,1684428
1059,1692630
1060,1657229
1061,1673052
1062,1684196
1063,1684334
1064,1694811
1065,1652579
1066,1681359
1067,1671238
1068,1680610
1069,1681629
1070,1603009
1071,1675590
1072,1646557
1073,1661386
1074,1664916
1075,1666192
1076,1671668
1077,1674793
1078,1674816
1079,1687454
1080,1688044
1081,1692400
1082,1694890
1083,1675631
1084,1643557
1085,1668598
1086,1678706
1087,1652386
1088,1690160
1089,1694587
1090,1681242
1091,1681534
1092,1692553
1093,1682357
1094,1692027
1095,1692768
1096,1556516
1097,1678638
1098,1681966
1099,1683247
1100,1689018
1101,1639543
1102,1631499
1103,1648067
1104,1677760
1105,1679399
1106,1683785
1107,1690758
1108,1694441
1109,1695416
1110,1671122
1111,1580854
1112,1622975
1113,1689913
1114,1678116
1115,1678226
1116,1689796
1117,1690229
1118,1680878
1119,1677261
1120,1679514
1121,1690574
1122,1695116
1123,1678498
1124,1656235
1125,1678709
1126,1694891
1127,1673819
1128,1587131
1129,1663702
1130,1687047
1131,1585315
1132,1660985
1133,1663701
1134,1687046
1135,1693693
1136,1671628
1137,1694685
1138,1669267
1139,1677393
1140,1690509
1141,1686919
1142,1687611
1143,1670446
1144,1687362
1145,1652557
1146,1690474
1147,1657581
1148,1685223
1149,1691043
1150,1491980
1151,1491983
1152,1681800
1153,1684189
1154,1690063
1155,1650283
1156,1675019
1157,1673046
1158,1661175
1159,1632713
1160,1641629
1161,1649084
1162,1654028
1163,1654138
1164,1676335
1165,1677770
1166,1621864
1167,1690475
1168,1675589
1169,1658755
1170,1666200
1171,1675020
1172,1674572
1173,1689364
1174,1637872
1175,1652551
1176,1670564
1177,1665362
1178,1688302
1179,1656461
1180,1637465
1181,1641648
1182,1585371
1183,1692561
1184,1683724
1185,1508275
1186,1583740
1187,1681617
1188,1692737
1189,1681354
1190,1690244
1191,1694858
1192,1690476
1193,1616927
1194,1642857
1195,1662973
1196,1682981
1197,1640574
1198,1634733
1199,1681967
1200,1677241
1201,1634495
1202,1638915
1203,1694489
1204,1689557
1205,1678353
1206,1687096
1207,1557277
1208,1625155
1209,1660661
1210,1692609
1211,1693395
1212,1693911
1213,1491277
1214,1611682
1215,1651146
1216,1693570
1217,1574808
1218,1670531
1219,1651055
1220,1676268
1221,1664649
1222,1640220
1223,1693189
1224,1637873
1225,1694317
1226,1639214
1227,1693187
1228,1695114
1229,1663633
1230,1695115
1231,1693188
1232,1639262
1233,1681669
1234,1664466
1235,1664467
1236,1661242
1237,1595801
1238,1664468
1239,1665178
1240,1683133
1241,1645872
1242,1664469
1243,1664470
1244,1664471
1245,1611301
1246,1632887
1247,1678530
1248,1664472
1249,1681370
1250,1681371
1251,1681372
1252,1653706
1253,1664473
1254,1565517
1255,1650018
1256,1653707
1257,1664474
1258,1664475
1259,1694892
1260,1653708
1261,1664476
1262,1682642
1263,1653709
1264,1664477
1265,1637354
1266,1664478
1267,1685620
1268,1690920
1269,1664479
1270,1681818
1271,1684603
1272,1661225
1273,1678632
1274,1681819
1275,1688073
1276,1602694
1277,1637355
1278,1687702
1279,1694468
1280,1683690
1281,1672964
1282,1682960
1283,1671068
1284,1661177
1285,1693536
1286,1690357
1287,1666827
1288,1650613
1289,1695407
1290,1694591
1291,1691494
1292,1662372
1293,1598671
1294,1658027
1295,1686798
1296,1655093
1297,1680783
1298,1678172
1299,1686834
1300,1636328
1301,1671687
1302,1695408
1303,1690201
1304,1690911
1305,1646236
1306,1657930
1307,1683959
1308,1623683
1309,1692001
1310,1665761
1311,1681767
1312,1677757
1313,1685610
1314,1685122
1315,1571961
1316,1690114
1317,1694920
1318,1688206
1319,1661779
1320,1662668
1321,1677919
1322,1689269
1323,1654840
1324,1663951
1325,1681198
1326,1685167
1327,1692465
1328,1666972
1329,1689872
1330,1681789
1331,1687822
1332,1692462
1333,1694918
1334,1694919
1335,1626486
1336,1673841
1337,1635532
1338,1680932
1339,1681199
1340,1641277
1341,1656325
1342,1693038
1343,1694748
1344,1653919
1345,1695453
1346,1659921
1347,1674035
1348,1691348
1349,1695220
1350,1688390
1351,1689142
1352,1693692
1353,1692552
1354,1674014
1355,1688568
1356,1682797
1357,1662405
1358,1686978
1359,1672784
1360,1679384
1361,1690454
1362,1610561
1363,1666430
1364,1684426
1365,1675149
1366,1656515
1367,1691152
1368,1681087
1369,1645346
1370,1687857
1371,1682292
1372,1692767
1373,1634473
1374,1645787
1375,1680397
1376,1653200
1377,1635333
1378,1690179
1379,1674634
1380,1694548
1381,1647178
1382,1676235
1383,1692441
1384,1585325
1385,1677598
1386,1694438
1387,1687494
1388,1692963
1389,1657221
1390,1683896
1391,1677126
1392,1609013
1393,1682950
1394,1500887
1395,1680195
1396,1686797
1397,1684197
1398,1695219
1399,1651503
1400,1688585
1401,1687248
1402,1683007
1403,1692362
1404,1585320
1405,1585321
1406,1665213
1407,1679125
1408,1585322
1409,1585324
1410,1666543
1411,1585323
1412,1681201
1413,1511906
1414,1674764
1415,1691203
1416,1673488
1417,1683722
1418,1595788
1419,1680985
1420,1591549
1421,1628511
1422,1647232
1423,1672724
1424,1684866
1425,1692631
1426,1651333
1427,1657719
1428,1671766
1429,1664761
1430,1639780
1431,1681375
1432,1687455
1433,1557357
1434,1693216
1435,1654641
1436,1678712
1437,1682765
1438,1685630
1439,1689553
1440,1614665
1441,1689332
1442,1689905
1443,1505811
1444,1678066
1445,1687178
1446,1688081
1447,1573140
1448,1637176
1449,1641562
1450,1660630
1451,1692986
1452,1683090
1453,1673842
1454,1624934
1455,1678710
1456,1640920
1457,1644039
1458,1673405
1459,1687595
1460,1687882
1461,1679910
1462,1649281
1463,1668633
1464,1671240
1465,1672723
1466,1673021
1467,1679352
1468,1683692
1469,1683693
1470,1688354
1471,1688646
1472,1693506
1473,1695218
1474,1682989
1475,1628969
1476,1668597
1477,1670682
1478,1676170
1479,1683716
1480,1692353
1481,1692844
1482,1691197
1483,1687950
1484,1593779
1485,1681373
1486,1689361
1487,1634990
1488,1652559
1489,1668634
1490,1678030
1491,1678223
1492,1678635
1493,1687497
1494,1692141
1495,1693480
1496,1693481
1497,1694547
1498,1671239
1499,1675141
1500,1632194
1501,1686990
1502,1692133
1503,1679979
1504,1690901
1505,1691431
1506,1693393
1507,1629724
1508,1502962
1509,1629643
1510,1684593
1511,1693489
1512,1694392
1513,1661057
1514,1667774
1515,1693394
1516,1695217
1517,1615960
1518,1657466
1519,1663698
1520,1667231
1521,1669796
1522,1690183
1523,1693043
1524,1695454
1525,1668600
1526,1623311
1527,1650576
1528,1683874
1529,1640984
1530,1692738
1531,1691639
1532,1684521
1533,1604033
1534,1685308
1535,1687583
1536,1688079
1537,1693217
1538,1694457
1539,1694552
1540,1561302
1541,1682311
1542,1607626
1543,1641690
1544,1670088
1545,1692617
1546,1695438
1547,1664014
1548,1651155
1549,1651984
1550,1684753
1551,1663102
1552,1679513
1553,1681376
1554,1685456
1555,1630176
1556,1676563
1557,1657683
1558,1679554
1559,1630133
1560,1631680
1561,1657235
1562,1663077
1563,1664418
1564,1672993
1565,1676547
1566,1685009
1567,1690448
1568,1693487
1569,1674237
1570,1686906
1571,1684317
1572,1681336
1573,1693313
1574,1658204
1575,1675628
1576,1692564
1577,1675528
1578,1690018
1579,1692003
1580,1648703
1581,1664161
1582,1670233
1583,1673539
1584,1687516
1585,1657343
1586,1650757
1587,1654470
1588,1672488
1589,1678178
1590,1645115
1591,1669583
1592,1639302
1593,1682546
1594,1691854
1595,1583889
1596,1655181
1597,1658457
1598,1673022
1599,1688815
1600,1695437
1601,1683489
1602,1695222
1603,1551605
1604,1634793
1605,1642522
1606,1680572
1607,1683691
1608,1684432
1609,1690181
1610,1688172
1611,1689433
1612,1689434
1613,1657345
1614,1651830
1615,1660989
1616,1666544
1617,1670726
1618,1673436
1619,1681514
1620,1693114
1621,1693510
1622,1680352
1623,1693107
1624,1657346
1625,1609030
1626,1640689
1627,1664925
1628,1674473
1629,1673708
1630,1677027
1631,1683274
1632,1683960
1633,1685225
1634,1626316
1635,1688586
1636,1693112
1637,1693113
1638,1657347
1639,1675462
1640,1680556
1641,1693111
1642,1682520
1643,1634490
1644,1664862
1645,1688443
1646,1693509
1647,1665762
1648,1694443
1649,1685311
1650,1609163
1651,1673437
1652,1678032
1653,1681522
1654,1688438
1655,1688658
1656,1690242
1657,1692563
1658,1692739
1659,1695064
1660,1687856
1661,1660966
1662,1650128
1663,1672966
1664,1687063
1665,1681337
1666,1587910
1667,1640783
1668,1583865
1669,1627594
1670,1682928
1671,1669544
1672,1693314
1673,1695221
1674,1657625
1675,1670730
1676,1674472
1677,1678034
1678,1683409
1679,1679789
1680,1691016
1681,1692002
1682,1681338
1683,1685077
1684,1638047
1685,1646912
1686,1654032
1687,1663252
1688,1680441
1689,1583888
1690,1608580
1691,1659830
1692,1690184
1693,1692790
1694,1692791
1695,1679349
1696,1681339
1697,1634001
1698,1648072
1699,1661891
1700,1690296
1701,1678713
1702,1583864
1703,1673323
1704,1682764
1705,1683170
1706,1649805
1707,1663004
1708,1679899
1709,1693115
1710,1694076
1711,1645472
1712,1658274
1713,1662199
1714,1674131
1715,1675576
1716,1692517
1717,1693316
1718,1681342
1719,1681343
1720,1662943
1721,1652042
1722,1652887
1723,1677217
1724,1679970
1725,1688864
1726,1690583
1727,1597681
1728,1638299
1729,1672992
1730,1689354
1731,1690449
1732,1691455
1733,1568384
1734,1638052
1735,1695460
1736,1603265
1737,1691454
1738,1614947
1739,1647644
1740,1654136
1741,1679355
1742,1680217
1743,1681347
1744,1652383
1745,1654895
1746,1672041
1747,1682242
1748,1685455
1749,1687456
1750,1693465
1751,1693604
1752,1694718
1753,1694907
1754,1630750
1755,1690902
1756,1622562
1757,1681536
1758,1648226
1759,1659858
1760,1679900
1761,1681349
1762,1689088
1763,1653193
1764,1659960
1765,1684332
1766,1688668
1767,1639614
1768,1670361
1769,1686905
1770,1691291
1771,1692565
1772,1693315
1773,1692789
1774,1583885
1775,1638033
1776,1651383
1777,1673779
1778,1680222
1779,1689694
1780,1634976
1781,1647753
1782,1669415
1783,1681537
1784,1647921
1785,1671232
1786,1692352
1787,1680941
1788,1663632
1789,1694223
1790,1687897
1791,1660085
1792,1572535
1793,1624884
1794,1650024
1795,1653426
1796,1681808
1797,1682952
1798,1693317
1799,1672886
1800,1517627
1801,1645533
1802,1607979
1803,1644733
1804,1664408
1805,1664969
1806,1517348
1807,1691619
1808,1686835
1809,1660618
1810,1634447
1811,1681019
1812,1690889
1813,1622637
1814,1632717
1815,1643886
1816,1659715
1817,1664770
1818,1676417
1819,1677376
1820,1680573
1821,1683359
1822,1688333
1823,1645113
1824,1680223
1825,1695455
1826,1688207
1827,1681075
1828,1652547
1829,1669615
1830,1605702
1831,1663053
1832,1678258
1833,1684992
1834,1695125
1835,1674496
1836,1655410
1837,1693044
1838,1632874
1839,1648068
1840,1657356
1841,1628669
1842,1659578
1843,1665253
1844,1670706
1845,1689563
1846,1691306
1847,1676494
1848,1650571
1849,1693601
1850,1680940
1851,1659369
1852,1659824
1853,1690190
1854,1692410
1855,1694629
1856,1648704
1857,1690589
1858,1659823
1859,1661610
1860,1677534
1861,1683702
1862,1691432
1863,1662737
1864,1670087
1865,1689674
1866,1680681
1867,1583899
1868,1678346
1869,1691618
1870,1681909
1871,1610393
1872,1670510
1873,1687064
1874,1688208
1875,1690912
1876,1672748
1877,1635534
1878,1641677
1879,1637180
1880,1652567
1881,1693997
1882,1692249
1883,1678033
1884,1693108
1885,1691954
1886,1669782
1887,1511425
1888,1659322
1889,1676281
1890,1677215
1891,1694680
1892,1690445
1893,1671509
1894,1694316
1895,1591911
1896,1695112
1897,1695117
1898,1591912
1899,1695113
1900,1695122
1901,1691914
1902,1525710
1903,1525699
1904,1525700
1905,1525698
1906,1637016
1907,1645500
1908,1694452
1909,1685670
1910,1621044
1911,1653217
1912,1665073
1913,1690446
1914,1693903
1915,1687067
1916,1637097
1917,1686904
1918,1684776
1919,1670232
1920,1680391
1921,1677922
1922,1634978
1923,1673432
1924,1692982
1925,1678074
1926,1679512
1927,1655091
1928,1683029
1929,1692792
1930,1687351
1931,1675075
1932,1665881
1933,1683866
1934,1695403
1935,1668728
1936,1694435
1937,1649480
1938,1679401
1939,1683961
1940,1684608
1941,1689689
1942,1684381
1943,1692766
1944,1691316
1945,1692248
1946,1695404
1947,1673047
1948,1671674
1949,1687066
1950,1683867
1951,1672797
1952,1687359
1953,1681651
1954,1684539
1955,1684368
1956,1690447
1957,1669981
1958,1689266
1959,1681630
1960,1689274
1961,1694009
1962,1693500
1963,1677660
1964,1692947
1965,1689084
1966,1674590
1967,1639303
1968,1678496
1969,1640631
1970,1653700
1971,1681784
1972,1695060
1973,1691785
1974,1693011
1975,1687542
1976,1667348
1977,1691791
1978,1685566
1979,1693041
1980,1685440
1981,1687529
1982,1624374
1983,1669622
1984,1691949
1985,1690748
1986,1672028
1987,1650197
1988,1672559
1989,1651390
1990,1653177
1991,1671569
1992,1627534
1993,1654775
1994,1669610
1995,1671567
1996,1460939
1997,1692584
1998,1585819
1999,1635114
2000,1672560
2001,1645945
2002,1671231
2003,1042788
2004,1672029
2005,1688656
2006,1616816
2007,1691866
2008,1692554
2009,1693116
2010,1688810
2011,1594007
2012,1648821
2013,1682143
2014,1683947
2015,1684610
2016,1692555
2017,1670487
2018,1690575
2019,1672561
2020,1693033
2021,1664967
2022,1672030
2023,1688669
2024,1691870
2025,1692556
2026,1688985
2027,1648218
2028,1656794
2029,1687951
2030,1688994
2031,1693002
2032,1691869
2033,1684336
2034,1690576
2035,1692557
2036,1693464
2037,1648645
2038,1690577
2039,1689643
2040,1653105
2041,1672241
2042,1656327
2043,1668590
2044,1690578
2045,1669374
2046,1694967
2047,1585824
2048,1635111
2049,1671054
2050,1659611
2051,1690579
2052,1624419
2053,1639839
2054,1659576
2055,1674095
2056,1691762
2057,1585835
2058,1649525
2059,1672564
2060,1680927
2061,1424146
2062,1585834
2063,1654766
2064,1690580
2065,1635030
2066,1660717
2067,1460941
2068,1585839
2069,1626409
2070,1635113
2071,1661692
2072,1671566
2073,1672031
2074,1684634
2075,1502996
2076,1579990
2077,1585842
2078,1585845
2079,1672553
2080,1653447
2081,1461403
2082,1585843
2083,1568912
2084,1585847
2085,1672032
2086,1503621
2087,1671568
2088,1672033
2089,1680824
2090,1690164
2091,1458631
2092,1674018
2093,1644731
2094,1682561
2095,1461405
2096,1585853
2097,1629243
2098,1585855
2099,1687701
2100,1694626
2101,1461406
2102,1692558
2103,1681814
2104,1693032
2105,1458606
2106,1585858
2107,1673224
2108,1679898
2109,1458621
2110,1691868
2111,1690581
2112,1692559
2113,1458638
2114,1675764
2115,1691865
2116,1458630
2117,1641616
2118,1643168
2119,1667928
2120,1460944
2121,1689067
2122,1458632
2123,1643607
2124,1643608
2125,1654776
2126,1693000
2127,1695058
2128,1458607
2129,1585865
2130,1460945
2131,1465226
2132,1672486
2133,1467052
2134,1693034
2135,1458610
2136,1465227
2137,1585867
2138,1691867
2139,1694439
2140,1585871
