word;count;group;group_2;group_3;group_4
bebyggelse;1588;no_list;;;
busforbindelse;1573;location_list;;;
gårdsplads;1564;nature_list;;;
tagterrasse;1553;interior_list;view_list;;
aften;1551;no_list;;;
information;1547;no_list;;;
byggegrund;1543;no_list;;;
bla;1533;no_list;;;
bord;1530;no_list;;;
drivhus;1530;nature_list;interior_list;;
cykeltur;1526;nature_list;location_list;;
fyrrum;1526;interior_list;;;
erhverv;1524;other_list;;;
tilbygning;1521;interior_list;;;
miljø;1518;nature_list;;;
række;1508;no_list;;;
væld;1506;no_list;;;
hundred;1504;no_list;;;
kloak;1501;no_list;;;
byggeri;1499;no_list;;;
tegltag;1496;interior_list;;;
mursten;1483;interior_list;;;
fornødenhed;1475;interior_list;;;
jord;1471;nature_list;;;
institution;1462;no_list;;;
anvendelsesmulighed;1456;interior_list;;;
vaskesøjle;1454;no_list;;;
ejerlejlighed;1450;no_list;;;
plæne;1447;interior_list;;;
matrikel;1441;no_list;;;
forhave;1436;nature_list;;;
oase;1432;nature_list;location_list;;
lystbådehavn;1421;location_list;nature_list;;
fred;1408;nature_list;location_list;;
sommerhusområde;1405;location_list;nature_list;;
bydel;1404;location_list;;;
vedligeholdelse;1397;interior_list;;;
dagligdag;1386;no_list;;;
opbevaringsplads;1369;interior_list;;;
oplevelse;1367;no_list;;;
varme;1360;no_list;;;
kælderrum;1359;interior_list;;;
